scenario,N,method,metric,mean,sd,ci95_low,ci95_high
corridor,400,pso_mid_6x8,p5_rate_Mbps,0.28791711,0.35441364,0.15559174,0.42024248
corridor,400,pso_mid_6x8,qos_violation,0.056416667,0.029940194,0.04523807,0.067595264
corridor,400,pso_mid_6x8,jain_fairness,0.45417566,0.1056737,0.41472088,0.49363044
corridor,400,pso_mid_6x8,time_s,0.123,0.01387133,0.11782094,0.12817906
four_cluster,100,alns_no_refine,coverage,0.999,0.004025779,0.99749692,1.0005031
four_cluster,100,alns_no_refine,K,6.4666667,0.62881022,6.2318914,6.7014419
four_cluster,100,alns_no_refine,throughput_Mbps,3899.9516,753.25061,3618.7148,4181.1885
four_cluster,100,alns_no_refine,mean_user_rate_Mbps,38.999516,7.5325061,36.187148,41.811885
four_cluster,100,alns_no_refine,p5_rate_Mbps,4.2305336,3.7754299,2.8209232,5.640144
four_cluster,100,alns_no_refine,qos_violation,0.001,0.004025779,-0.0005030818,0.0025030818
four_cluster,100,alns_no_refine,jain_fairness,0.58327996,0.061053483,0.56048477,0.60607515
four_cluster,100,alns_no_refine,time_s,0.010166667,0.0022141136,0.0093399959,0.010993337
four_cluster,100,alns_sca_lite,coverage,1,0,1,1
four_cluster,100,alns_sca_lite,K,6.5333333,0.62881022,6.2985581,6.7681086
four_cluster,100,alns_sca_lite,throughput_Mbps,7222.4814,1938.755,6498.6197,7946.3431
four_cluster,100,alns_sca_lite,mean_user_rate_Mbps,72.224814,19.38755,64.986197,79.463431
four_cluster,100,alns_sca_lite,p5_rate_Mbps,13.779322,6.2022715,11.463616,16.095028
four_cluster,100,alns_sca_lite,qos_violation,0,0,0,0
four_cluster,100,alns_sca_lite,jain_fairness,0.65503181,0.076582915,0.62643849,0.68362513
four_cluster,100,alns_sca_lite,time_s,0.024,0.0041771133,0.022440415,0.025559585
four_cluster,100,fixed_gno_refine,coverage,1,0,1,1
four_cluster,100,fixed_gno_refine,K,10,0,10,10
four_cluster,100,fixed_gno_refine,throughput_Mbps,7820.1803,1496.6432,7261.3874,8378.9733
four_cluster,100,fixed_gno_refine,mean_user_rate_Mbps,78.201803,14.966432,72.613874,83.789733
four_cluster,100,fixed_gno_refine,p5_rate_Mbps,17.793135,4.1312243,16.250684,19.335587
four_cluster,100,fixed_gno_refine,qos_violation,0,0,0,0
four_cluster,100,fixed_gno_refine,jain_fairness,0.73370542,0.061991818,0.7105599,0.75685095
four_cluster,100,fixed_gno_refine,time_s,0.0183,0.0037705757,0.016892202,0.019707798
four_cluster,100,gno,coverage,0.999,0.004025779,0.99749692,1.0005031
four_cluster,100,gno,K,10,0,10,10
four_cluster,100,gno,throughput_Mbps,3049.3879,551.55187,2843.4582,3255.3177
four_cluster,100,gno,mean_user_rate_Mbps,30.493879,5.5155187,28.434582,32.553177
four_cluster,100,gno,p5_rate_Mbps,7.2558357,3.2281822,6.050548,8.4611233
four_cluster,100,gno,qos_violation,0.001,0.004025779,-0.0005030818,0.0025030818
four_cluster,100,gno,jain_fairness,0.63757788,0.076275693,0.60909927,0.66605649
four_cluster,100,gno,time_s,0.0020333333,0.0009278575,0.0016869046,0.0023797621
four_cluster,100,kmeans_grid,coverage,0.90133333,0.044079343,0.88487568,0.91779098
four_cluster,100,kmeans_grid,K,5,0,5,5
four_cluster,100,kmeans_grid,throughput_Mbps,10140.9,976.0448,9776.4794,10505.32
four_cluster,100,kmeans_grid,mean_user_rate_Mbps,101.409,9.760448,97.764794,105.0532
four_cluster,100,kmeans_grid,p5_rate_Mbps,0.050549027,0.19249078,-0.021320142,0.1224182
four_cluster,100,kmeans_grid,qos_violation,0.098666667,0.044079343,0.082209017,0.11512432
four_cluster,100,kmeans_grid,jain_fairness,0.60573039,0.051782777,0.58639655,0.62506422
four_cluster,100,kmeans_grid,time_s,0.0020666667,0.0010148325,0.0016877645,0.0024455688
four_cluster,100,pso_high_12x16,coverage,1,0,1,1
four_cluster,100,pso_high_12x16,K,6.5333333,0.62881022,6.2985581,6.7681086
four_cluster,100,pso_high_12x16,throughput_Mbps,9302.4704,1194.3489,8856.5433,9748.3975
four_cluster,100,pso_high_12x16,mean_user_rate_Mbps,93.024704,11.943489,88.565433,97.483975
four_cluster,100,pso_high_12x16,p5_rate_Mbps,13.315755,5.2591464,11.352178,15.279332
four_cluster,100,pso_high_12x16,qos_violation,0,0,0,0
four_cluster,100,pso_high_12x16,jain_fairness,0.54570539,0.063791675,0.52188786,0.56952291
four_cluster,100,pso_high_12x16,time_s,0.086033333,0.019808538,0.078637534,0.093429132
four_cluster,100,pso_low_3x4,coverage,0.98866667,0.018519949,0.98175198,0.99558135
four_cluster,100,pso_low_3x4,K,6.5333333,0.62881022,6.2985581,6.7681086
four_cluster,100,pso_low_3x4,throughput_Mbps,5936.4635,1413.3234,5408.7791,6464.1478
four_cluster,100,pso_low_3x4,mean_user_rate_Mbps,59.364635,14.133234,54.087791,64.641478
four_cluster,100,pso_low_3x4,p5_rate_Mbps,5.7706931,5.278196,3.8000036,7.7413826
four_cluster,100,pso_low_3x4,qos_violation,0.011333333,0.018519949,0.0044186473,0.018248019
