factor,level,seed,coverage,K,throughput_Mbps,p5_rate_Mbps,jain_fairness,time_s
altitude_hmax_m,80,20001,0.99750000,24,4747.36282919,2.93174973,0.47328604,0.07700000
altitude_hmax_m,80,20002,1.00000000,23,5109.62681245,1.91096262,0.54337712,0.07700000
altitude_hmax_m,80,20003,0.98500000,26,9312.61255119,1.29294384,0.52482296,0.07900000
altitude_hmax_m,80,20004,1.00000000,27,24434.82838051,13.28769427,0.72707423,0.07200000
altitude_hmax_m,80,20005,0.99500000,25,6041.08353298,1.85273779,0.47904941,0.07700000
altitude_hmax_m,80,20006,1.00000000,25,5789.73855489,2.23878060,0.49203728,0.07600000
altitude_hmax_m,80,20007,0.99500000,25,5110.65072375,1.20899689,0.41471925,0.08000000
altitude_hmax_m,80,20008,1.00000000,25,5377.23859304,1.90251288,0.51300758,0.07800000
altitude_hmax_m,80,20009,0.99750000,24,4403.67358217,2.01971944,0.56297170,0.07500000
altitude_hmax_m,80,20010,1.00000000,29,26535.94937897,15.83738323,0.77552159,0.07300000
altitude_hmax_m,80,20011,0.99750000,27,9383.78309430,2.43966487,0.53170666,0.07800000
altitude_hmax_m,80,20012,1.00000000,25,4710.91901753,1.41727829,0.44026218,0.08100000
altitude_hmax_m,80,20013,1.00000000,24,5408.76998813,1.53820726,0.52456297,0.08000000
altitude_hmax_m,80,20014,1.00000000,25,6007.57262054,1.66714868,0.47265626,0.08400000
